sampleID	lakeID	source	phTreatment	Comments
B01	LN	Lancaster	low	
B02	LN	Lancaster	low	
B03	LN	Lancaster	low	
B04	LN	Lancaster	high	
B05	LN	Lancaster	high	
B06	LN	Lancaster	high	
B07	LY	Lydick	low	
B08	LY	Lydick	low	
B09	LY	Lydick	low	
B10	LY	Lydick	high	
B11	LY	Lydick	high	
B12	LY	Lydick	high	
B13	SP	Spicer	low	
B14	SP	Spicer	low	
B15	SP	Spicer	low	
B16	SP	Spicer	high	
B17	SP	Spicer	high	
B18	SP	Spicer	high	
B19	DI	Diamond	low	
B20	DI	Diamond	low	
B21	DI	Diamond	low	
B22	DI	Diamond	high	
B23	DI	Diamond	high	
B24	DI	Diamond	high	
B25	GA	Garver	low	
B26	GA	Garver	low	
B27	GA	Garver	low	
B28	GA	Garver	high	
B29	GA	Garver	high	
B30	GA	Garver	high	
B31	ST	Stone	low	
B32	ST	Stone	low	
B33	ST	Stone	low	
B34	ST	Stone	high	
B35	ST	Stone	high	
B36	ST	Stone	high	
B37	CO	Control	low	
B38	CO	Control	low	
B39	CO	Control	low	
B40	CO	Control	high	
B41	CO	Control	high	
B42	CO	Control	high	
B43	RP	RegionalPool	low	
B44	RP	RegionalPool	low	
B45	RP	RegionalPool	low	
B46	RP	RegionalPool	low	
B47	RP	RegionalPool	low	
B48	RP	RegionalPool	low	
B49	RP	RegionalPool	high	
B50	RP	RegionalPool	high	
B51	RP	RegionalPool	high	
B52	RP	RegionalPool	high	
B53	RP	RegionalPool	high	
B54	RP	RegionalPool	high	
B55	NA	RegionalPool	low	pH monitoring
B56	NA	RegionalPool	low	pH monitoring
B57	NA	RegionalPool	high	pH monitoring
B58	NA	RegionalPool	high	pH monitoring
